,geometry.coordinates,properties.early bce/ce,properties.late bce/ce,label,properties.project label,properties.context label,properties.item category,properties.thumbnail
59,"[40.814014, 37.831214]",-3100.0,-2100.0,Object 1,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 9/Locus 19/Finds Bag 1,Object,"https://iiif.archivelab.org/iiif/opencontext-22-g-9-19-1-1-d-10jpg/full/150,/0/default.jpg"
60,"[40.813717, 37.830596]",-4700.0,-4200.0,Item 1,Kenan Tepe,Turkey/Kenan Tepe/Area D/Trench 8/Locus 132/Finds Bag 43,Object,"https://iiif.archivelab.org/iiif/opencontext-22-d8132431ajpg/full/150,/0/default.jpg"
61,"[11.401165, 43.153118]",-700.0,-535.0,PC 19980158,Murlo,"Italy/Poggio Civitate/Agger/Agger 9 Extension/1998, ID:363",Pottery,"https://iiif.archivelab.org/iiif/opencontext-24-19980158aexteriorjpg/full/150,/0/default.jpg"
62,"[40.813654, 37.830637]",-1900.0,-1700.0,Sherd D-4-4077-1-1,Kenan Tepe,Turkey/Kenan Tepe/Area D/Trench 4/Locus 4077/Finds Bag 1,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-d-4-4077-1-1-d-1jpg/full/150,/0/default.jpg"
63,"[11.401263, 43.15301]",-700.0,-535.0,PC 19970127,Murlo,"Italy/Poggio Civitate/Tesoro South Flank/Tesoro South Flank 0/1997, ID:355",Pottery,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19970127BACK.jpg
64,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-30-7-1,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 30/Finds Bag 7,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-30-7-1-d-1jpg/full/150,/0/default.jpg"
65,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-30-1-3,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 30/Finds Bag 1,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-30-1-3-d-1jpg/full/150,/0/default.jpg"
66,"[11.400844, 43.152865]",-700.0,-535.0,PC 20190035,Murlo,Italy/Poggio Civitate/Tesoro/Tesoro 90/T90 2019/Locus 25,Pottery,https://artiraq.org/static/opencontext/poggio-civitate/2019-media/thumbs/20190035a-8-9-19.jpg
67,"[11.391164972369436, 43.17118073417523]",-535.0,-50.0,VdM 20060124,Murlo,"Italy/Vescovado di Murlo/Upper Vescovado/Vescovado 2/2006, ID:577/Locus 8",Pottery,"https://iiif.archivelab.org/iiif/opencontext-24-20060124ailljpg/full/150,/0/default.jpg"
68,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-17-18-6,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 17/Finds Bag 18,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-17-18-6-d-1jpg/full/150,/0/default.jpg"
69,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-17-21-3,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 17/Finds Bag 21,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-17-21-3-d-1jpg/full/150,/0/default.jpg"
70,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-17-21-2,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 17/Finds Bag 21,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-17-21-2-d-1jpg/full/150,/0/default.jpg"
71,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-22-15-2,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 22/Finds Bag 15,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-22-15-2-d-1jpg/full/150,/0/default.jpg"
72,"[11.401427, 43.153401]",-700.0,-535.0,PC 19710569,Murlo,"Italy/Poggio Civitate/Tesoro Rectangle/Tesoro Rectangle 7/1971, ID:283",Pottery,"https://iiif.archivelab.org/iiif/opencontext-24-19710569-1jpg/full/150,/0/default.jpg"
73,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-17-17-1,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 17/Finds Bag 17,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-17-17-1-d-1jpg/full/150,/0/default.jpg"
74,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-22-2-1,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 22/Finds Bag 2,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-22-2-1-d-1jpg/full/150,/0/default.jpg"
75,"[11.40212417809982, 43.152756739852705]",-700.0,-535.0,PC 19810182,Murlo,"Italy/Poggio Civitate/Tesoro/Tesoro 23/1981, ID:419",Object,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19810182Back.jpg
76,"[40.814601, 37.831376]",-3600.0,-3100.0,Sherd G-10-16-4-2,Kenan Tepe,Turkey/Kenan Tepe/Area G/Trench 10/Locus 16/Finds Bag 4,Pottery,"https://iiif.archivelab.org/iiif/opencontext-22-g-10-16-4-2-d-1jpg/full/150,/0/default.jpg"
77,"[11.40210472404946, 43.15266921386905]",-700.0,-535.0,PC 19790199,Murlo,"Italy/Poggio Civitate/Tesoro/Tesoro 23/1979, ID:92",Pottery,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19790199Back.jpg
